,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,34,0,551,1,0,115,2,315,11,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,no,no,no,no
1,29,0,0,0,0,215,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
2,31,0,0,0,0,31,5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,no,no,no,no
3,43,0,5172,1,0,57,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,no,no,no,no
4,54,0,-133,1,0,76,1,343,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
5,58,0,0,1,0,244,1,229,5,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,no,no,no,no
6,28,0,53,1,0,93,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
7,56,0,699,1,0,193,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,no,no,no,no
8,31,0,6138,1,0,134,5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,no,no,no,no
9,31,0,505,0,0,773,3,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
10,31,0,0,1,1,913,4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,yes,no,no,no
11,75,0,3504,0,0,195,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,no,no,no,no
12,70,0,1236,0,0,58,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,no,no,no,no
13,35,0,33,1,0,181,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,no,no,no,no
14,42,0,-158,1,0,124,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,no,no,no,no
