,y
32213,no
36907,yes
1447,no
10973,no
26982,no
13110,no
15305,no
33941,no
37160,no
1555,no
7076,no
8707,no
21391,no
1460,no
2452,no
30184,no
12207,no
39164,no
14400,no
30619,no
44121,no
18211,no
26512,no
4903,no
37779,no
13246,no
45132,no
25559,no
8716,no
31800,no
9145,yes
9583,no
22429,no
8029,no
31144,yes
27886,no
44600,no
29776,no
10951,no
23391,no
9616,no
29366,no
42940,no
13414,no
17626,no
24760,no
4093,no
42843,yes
13081,no
9832,no
27650,no
7842,no
40997,no
7708,no
9863,no
28569,no
30561,yes
43266,no
4063,no
37370,no
11737,no
38535,no
42507,no
25144,no
14946,no
5448,no
40231,yes
31121,no
38015,no
12922,no
6854,yes
3266,no
43966,yes
31138,no
30946,no
245,no
14087,no
24514,no
13710,no
42948,no
11135,no
24888,no
8927,no
19305,no
32526,no
8303,no
12114,no
13062,no
12902,no
9587,no
15788,no
21190,no
36170,no
19607,no
40765,no
13626,no
29447,no
11881,no
34584,no
29274,no
22402,no
14158,no
11479,no
21818,no
37995,no
14795,no
13577,no
38803,no
41497,yes
37608,no
3276,no
25646,no
30242,no
6003,no
4962,no
23951,no
19111,no
30381,no
31941,no
44392,yes
31151,no
22800,no
8051,no
19543,no
45165,no
15135,no
1168,no
44244,no
14166,no
27670,no
44187,yes
26890,no
5307,no
35522,no
18452,no
9968,no
44521,yes
8917,no
35613,no
36863,yes
24802,no
9627,no
19329,no
30868,no
31406,no
26641,no
30121,no
25175,no
30857,yes
42058,yes
19241,yes
8407,no
10656,no
15891,no
38389,no
29935,no
38158,no
12856,no
1217,no
37378,no
17253,no
22158,no
4619,no
827,no
18024,no
18259,no
7576,no
44037,no
6350,no
5144,yes
22027,no
4786,no
7658,no
32638,no
39461,no
24230,no
37126,no
43866,no
2994,no
1913,no
4514,no
16902,no
12435,no
36772,no
1706,no
4452,no
30764,no
13751,no
13085,no
5406,no
17443,no
10586,no
7265,no
37484,no
37527,no
3669,no
37335,no
22950,no
12238,no
43896,no
28587,no
42724,yes
3340,no
11202,no
11776,no
